,place_id,user_id,score
92,12216,7mptf0,4.0
93,12216,109u2sc,5.0
94,12216,sh1vo6,4.0
95,12216,cefdcj,4.0
96,12216,ahk1p5,4.0
97,12216,e4m3b7,5.0
98,12216,boe8j6,4.0
99,12216,10hvf0i,5.0
100,12216,1hhsmii,5.0
101,12216,16e4kvr,5.0
102,12216,rc48up,4.0
103,12257,ek9rqu,5.0
104,12257,15h95gd,5.0
105,12257,19l5qdp,5.0
106,12257,157h9ov,5.0
107,12257,1cfvgj1,5.0
108,12257,I AM 행운아,
109,12257,슈린세스,
110,12257,내꿈은먹짱,
111,12257,신주영짱짱맨,
112,12257,ell****,
113,12257,ㅁㅌㄹ,
114,12257,원8325,
115,12257,원8325,
116,12257,이니달,
117,12257,돈까스 요정,
118,12257,곰곰이9005,
119,12257,솔직리뷰하는 지구탐험가,
120,12257,돈까스 요정,
121,12257,효빈이꼬봉,
122,12257,뿌딩이친구,
123,12257,체리마루27,
124,12257,또또또또또또또또,
125,12257,아롤롤롤로,
126,12257,현지니지니,
127,12257,히히352,
128,12257,호랑71,
129,12257,민지899,
130,12257,yz7,
131,12257,아크40,
132,12257,숲37,
133,12257,Ekkkkkkkk,
134,12257,크럼블,
135,12257,루라냐,
136,12257,Dewey14,
137,12257,숲37,
138,12257,모리모찌,
139,12257,좀고양이,
140,12257,Bomvie,
141,12257,Bell3178,
142,12257,꽃구르미이,
143,12257,성화5,
144,12257,반찬83,
145,12257,티람57,
146,12257,뱅골30,
147,12257,원츄58,
148,12257,즐건인생91,
149,12257,먹이를찾는티벳여우,
150,12257,진바람,
151,12257,나현4539,
152,12257,너귤이,
153,12257,보루매,
154,12257,잔망뚠보woo,
155,12257,돈까스 요정,
156,12257,닝링54,
157,12257,동글이6846,
158,12257,hsb****,
159,12257,진바람,
160,12257,리베2384,
161,12257,배주연,
162,12257,프로필수정5111,
163,12257,엄하다엄선생,
164,12257,티람57,
165,12257,빛카츄,
166,12257,이날라다,
167,12257,모냥72,
168,12257,엄하다엄선생,
169,12257,땅콩2184,
170,12257,gwkkkkkk,
171,12257,내가찐풍운,
172,12257,하319,
173,12257,깐따삐아65,
174,12257,수빈4146,
175,12257,qor****,
176,12257,seon30,
177,12257,gwkkkkkk,
178,12257,wjd****,
179,12257,sih918,
180,12257,shi****,
181,12257,앵지2934,
182,12257,pjw****,
183,12257,Bomvie,
184,12257,12032,
185,12257,귀요미581,
186,12257,juhe5,
187,12257,cjh****,
188,12257,kuku9998,
189,12257,어년79,
190,12257,슈퍼마미38,
191,12257,모리모찌,
192,12257,경블리s,
193,12257,GY7023,
194,12257,땡구맘33,
195,12257,나루나리링,
196,12257,좀고양이,
197,12257,유쓰마일,
198,12257,gywls102,
199,12257,SOONHO,
200,12257,블랙스완3645,
201,12257,GY7023,
202,12257,minkc,
203,12257,uuu****,
204,12257,Bomvie,
205,12257,종민이는다혜꺼,
206,12257,고여사6,
207,12257,pur****,
208,12257,샵7460,
209,12257,고여사6,
210,12257,햅번3749,
211,12257,hee6267,
212,12257,min****,
213,12257,항상신세지고있습니다,
214,12257,토랑82,
215,12257,수블린,
216,12257,뚜뚜565,
217,12257,ell****,
218,12257,대박맘54,
219,12257,이쁜이488,
220,12257,링가링가34,
221,12257,빛이나는구슬같이,
222,12257,samigina33,
223,12257,보통이99,
224,12257,알란99,
225,12257,아라0,
226,12257,쳐리,
227,12257,댕댕8573,
228,12194,era946,1.0
229,12194,158vrhl,5.0
230,12194,7kajea,5.0
231,12194,ueacfc,1.0
232,12194,1hkc1sj,5.0
233,12194,7r9sm0,5.0
234,12194,1o86hpg,5.0
235,12194,1j2hiaf,1.0
236,12194,1k0lotk,5.0
237,12194,d0g99k,5.0
238,12194,ferjnp,1.0
239,12194,12hm8v1,1.0
240,12194,ei95om,1.0
241,12194,1ig77gu,5.0
242,12194,1iok1a3,1.0
243,12194,movckg,2.0
244,12194,dceil6,1.0
245,12194,ulat1k,5.0
246,12194,vii8cg,5.0
247,12194,gl827t,1.0
248,12194,194sg5d,5.0
249,12194,g56fpj,4.0
250,12194,tpvfse,1.0
251,12194,7ns43c,1.0
252,12194,7n0jr2,1.0
253,12194,15kchn0,5.0
254,12194,v6q9qh,1.0
255,12194,r8udmb,1.0
256,12194,171g1hh,5.0
257,12194,1g56l02,1.0
258,12194,17ofce8,5.0
259,12194,bfhm5t,1.0
260,12194,a6kdh2,1.0
261,12194,qktmjh,5.0
262,12194,lnohc5,2.0
263,12194,fkfjau,5.0
264,12194,160sbav,5.0
265,12194,9u89mq,5.0
266,12194,7o07av,4.0
267,12194,10necg1,5.0
268,12194,7l477d,5.0
269,12194,frbt4h,4.0
270,12194,ei95om,3.0
271,12194,192rv12,5.0
272,12194,1426q2u,5.0
273,12194,n055ri,5.0
274,12194,ucb3ub,5.0
275,12194,u7vobt,5.0
276,12194,7l477d,5.0
277,12194,1nnc35r,4.0
278,12194,15dv6hk,5.0
279,12209,1k834ji,3.0
280,12209,17n0g7g,5.0
281,12209,k1f7s5,5.0
282,12209,oan06n,5.0
283,12209,1h3esrq,5.0
284,12209,15riao1,4.0
285,12209,al7vje,5.0
286,12209,1jvq9li,5.0
287,12209,13euo0q,5.0
288,12209,mluiom,4.0
289,12209,bldlgm,2.0
290,12209,1lq8ub0,5.0
291,12209,ar6m5h,1.0
292,12209,g1o49p,3.0
293,12209,bp7ir5,4.0
294,12209,11cr2jl,4.0
295,12209,konu6k,4.0
296,12209,voa1lv,4.0
297,12209,11t82bu,5.0
298,12209,1bugik4,3.0
299,12209,16bqb7j,5.0
300,12209,15gio3c,4.0
301,12209,1jgk6cu,5.0
302,12209,8nqubf,5.0
303,12209,13vnlht,5.0
304,12209,1jalhqi,5.0
305,12209,15gi4fi,5.0
306,12209,17a8r54,4.0
307,12209,muduho,3.0
308,12209,mtsn58,4.0
309,12209,14lgbq8,5.0
310,12209,8tkdhm,5.0
311,12209,1h0d69k,5.0
312,12209,1a4iqga,4.0
313,12209,f1vnfs,4.0
314,12209,fkfake,5.0
315,12209,vii8cg,4.0
316,12209,19hbs9o,3.0
317,12209,lqspdh,5.0
318,12209,1c2qg1j,5.0
319,12209,17j63a7,4.0
320,12209,14mokf1,4.0
321,12209,198plks,5.0
322,12209,sk0vhl,5.0
323,12209,trkcqd,5.0
324,12209,184prbo,5.0
325,12209,1bs17oc,5.0
326,12209,ak4ple,1.0
327,12209,mukr45,5.0
328,12209,1bn2o2u,4.0
329,12209,92uuj9,5.0
330,12209,117brir,5.0
331,12209,17c02ir,5.0
332,12209,11n8nuk,4.0
333,12209,gh3ck1,3.0
334,12209,ffaulk,4.0
335,12209,14p54rd,2.0
336,12209,7kt08q,4.0
337,12209,10hjuse,5.0
338,12209,9u89mq,3.0
339,12209,frgo8h,5.0
340,12209,146vub9,5.0
341,12209,apd0o0,5.0
342,12209,9bjs4q,4.0
343,12209,e5t78u,1.0
344,12209,1042bsg,5.0
345,12209,100dlpu,5.0
346,12209,jss465,5.0
347,12209,rup99k,4.0
348,12209,qu7bh8,5.0
349,12209,mpfs6a,4.0
350,12209,f8fghn,4.0
351,12209,t9pfle,2.0
352,12209,ff704n,4.0
353,12209,10a73pc,4.0
354,12209,mi0vj8,5.0
355,12209,10d498d,3.0
356,12209,uik9b5,2.0
357,12209,ult3pb,5.0
358,12209,nblisv,5.0
359,12209,f1qm28,4.0
360,12209,bu70f3,4.0
361,12209,av671d,4.0
362,12209,o2gpd9,5.0
363,12209,e2jsnb,3.0
364,12209,o32059,5.0
365,12209,rmuk0v,5.0
366,12209,10hvf0i,3.0
367,12209,10lppbh,2.0
368,12209,mib7of,4.0
369,12209,7kd3eq,3.0
370,12209,boe8j6,5.0
371,12209,v1vg8o,3.0
372,12209,bfnv4m,5.0
373,12209,ec5fm4,3.0
374,12209,7l477d,4.0
375,12209,7pefkb,4.0
376,12209,1utpk4g,3.0
377,12209,1b2038o,3.0
378,12209,뾰로로롱6491,
379,12209,히아신스6618,
380,12209,미니치이즈,
381,12209,myungmyung,4.5
382,12209,아임쏘해피뽕따,
383,12209,j41****,
384,12209,슈이57,
385,12209,여성능력개발,
386,12209,도레미2713,
387,12209,메이짱47,
388,12209,분홍색,
389,12209,briankim9,
390,12209,Romantic Day,
391,12209,staygold34,
392,12209,꽉찬하루,
393,12209,mii****,
394,12209,고구마2860,
395,12209,nekoyokan,
396,12209,이루다1752,
397,12209,Juhee97,
398,12209,Power6811,
399,12209,kjh****,
400,12209,koy****,
401,12209,꼬불맘,
402,12209,최향19,
403,12209,금곡동88,
404,12209,최향19,
405,12209,ant훗,5.0
406,12209,pys2605,3.0
407,12209,커먼요57,4.0
408,12209,wendy1181,5.0
409,12209,psk91,2.5
410,12209,라무1842,4.0
411,12209,도토리8544,5.0
412,12209,횡재수,2.5
413,12209,명휘16,5.0
414,12209,kek****,5.0
415,12209,Null3544,5.0
416,12209,mrh****,5.0
417,12209,mkscho,5.0
418,12209,똘똘한한채,3.0
419,12209,eunnnb,4.0
420,12209,스킨다브스73,3.0
421,12209,사랑나눔55,4.0
422,12209,김코코94,5.0
423,12209,tjr****,5.0
424,12209,이예진2158,5.0
425,12209,rla****,3.5
426,12209,bbs****,5.0
427,12209,dbstnwls20,5.0
428,12209,박희태5058,4.5
429,12209,소율248,4.0
430,12209,ihs8441,4.0
431,12209,블루12,5.0
432,12209,열공맘76,5.0
433,12209,fro****,5.0
434,12209,이쁜여우14,4.0
435,12209,njs****,5.0
436,12209,정옥숙7,5.0
437,12209,슈퍼맨478,5.0
438,12209,서인3613,3.0
